Date/Time,Word Count,de,de-DE,en,es,es-ES,fr,fr-FR
2024.12.13-02.39.34,210,0,0,210,0,0,0,0
2024.12.13-02.40.25,210,0,0,210,0,0,210,0
2024.12.13-02.41.08,210,0,0,210,0,0,210,210
2024.12.17-15.29.05,547,0,0,547,0,0,210,210
2024.12.17-16.21.11,547,0,0,547,0,0,547,210
2024.12.17-16.22.15,547,0,0,547,0,0,547,547
2024.12.18-00.01.30,547,0,0,547,0,0,210,210
2024.12.18-00.12.39,210,0,0,210,0,0,210,210
2024.12.18-00.13.55,547,0,0,547,0,0,210,210
2024.12.18-00.34.02,547,0,0,547,0,0,547,210
2024.12.18-00.35.08,547,0,0,547,0,0,547,547
2024.12.18-00.47.32,547,0,0,547,0,0,210,210
2024.12.18-02.24.23,546,0,0,546,0,0,210,210
2024.12.18-02.26.19,547,0,0,547,0,0,210,210
2024.12.18-02.44.09,602,0,0,602,0,0,210,210
2024.12.18-02.45.16,547,0,0,547,0,0,210,210
2024.12.18-02.55.52,547,0,0,547,0,0,547,210
2024.12.18-02.56.24,547,0,0,547,0,0,547,547
2024.12.18-11.55.55,625,0,0,625,0,0,216,216
2024.12.18-11.57.14,466,0,0,466,0,0,221,221
2024.12.18-11.58.16,547,0,0,547,0,0,547,547
2024.12.18-12.02.23,547,0,221,547,0,0,547,547
2024.12.18-12.02.57,547,0,221,547,0,216,547,547
2024.12.18-12.25.43,547,0,337,547,0,337,547,547
2024.12.18-13.05.01,545,0,337,545,0,337,363,363
2024.12.18-13.11.43,535,0,337,535,0,337,353,353
2024.12.18-13.21.26,519,0,337,519,0,337,337,337
2024.12.18-13.30.51,519,0,337,519,0,337,519,519
2024.12.18-13.56.12,519,0,519,519,0,519,519,519
2024.12.18-14.03.37,519,0,519,519,519,519,519,519
2024.12.18-14.04.09,519,519,519,519,519,519,519,519
2024.12.19-20.45.29,587,519,0,587,519,0,519,0
