Key,SourceString
DefPal_PaletteName,USS Default - English
DefPal_Iron_Group_Name,Iron
DefPal_Iron_Group_IronOre_Swatch_Name,Iron Ore
DefPal_Iron_Group_IronIngot_Swatch_Name,Iron Ingot
DefPal_Iron_Group_IronRod_Swatch_Name,Iron Rod
DefPal_Iron_Group_IronPlate_Swatch_Name,Iron Plate
DefPal_Iron_Group_Screw_Swatch_Name,Screw
DefPal_Iron_Group_ReinforcedIronPlate_Swatch_Name,Reinforced Iron Plate
DefPal_Iron_Group_ModularFrame_Swatch_Name,Modular Frame
DefPal_Iron_Group_Rotor_Swatch_Name,Rotor
DefPal_Copper_Group_Name,Copper
DefPal_Copper_Group_CopperOre_Swatch_Name,Copper Ore
DefPal_Copper_Group_CopperIngot_Swatch_Name,Copper Ingot
DefPal_Copper_Group_Wire_Swatch_Name,Wire
DefPal_Copper_Group_Cable_Swatch_Name,Cable
DefPal_Copper_Group_CopperSheet_Swatch_Name,Copper Sheet
DefPal_Copper_Group_CopperPowder_Swatch_Name,Copper Powder
DefPal_Limestone_Group_Name,Limestone
DefPal_Limestone_Group_Limestone_Swatch_Name,Limestone
DefPal_Limestone_Group_Concrete_Swatch_Name,Concrete
DefPal_Steel_Group_Name,Steel
DefPal_Steel_Group_Coal_Swatch_Name,Coal
DefPal_Steel_Group_SteelIngot_Swatch_Name,Steel Ingot
DefPal_Steel_Group_SteelBeam_Swatch_Name,Steel Beam
DefPal_Steel_Group_SteelPipe_Swatch_Name,Steel Pipe
DefPal_Steel_Group_EncasedIndustrialBeam_Swatch_Name,Encased Industrial Beam
DefPal_Steel_Group_Stator_Swatch_Name,Stator
DefPal_Steel_Group_Motor_Swatch_Name,Motor
DefPal_Steel_Group_HeavyModularFrame_Swatch_Name,Heavy Modular Frame
DefPal_Caterium_Group_Name,Caterium
DefPal_Caterium_Group_CateriumOre_Swatch_Name,Caterium Ore
DefPal_Caterium_Group_CateriumIngot_Swatch_Name,Caterium Ingot
DefPal_Caterium_Group_Quickwire_Swatch_Name,Quickwire
DefPal_Quartz_Group_Name,Quartz
DefPal_Quartz_Group_RawQuartz_Swatch_Name,Raw Quartz
DefPal_Quartz_Group_QuartzCrystal_Swatch_Name,Quartz Crystal
DefPal_Quartz_Group_Silica_Swatch_Name,Silica
DefPal_Quartz_Group_DissolvedSilica_Swatch_Name,Dissolved Silica
DefPal_Oil_Group_Name,Oil
DefPal_Oil_Group_CrudeOil_Swatch_Name,Crude Oil
DefPal_Oil_Group_PackagedOil_Swatch_Name,Packaged Oil
DefPal_Oil_Group_Plastic_Swatch_Name,Plastic
DefPal_Oil_Group_Rubber_Swatch_Name,Rubber
DefPal_Oil_Group_HeavyOilResidue_Swatch_Name,Heavy Oil Residue
DefPal_Oil_Group_PackagedHeavyOilResidue_Swatch_Name,Packaged Heavy Oil Residue
DefPal_Oil_Group_PolymerResin_Swatch_Name,Polymer Resin
DefPal_Oil_Group_Fuel_Swatch_Name,Fuel
DefPal_Oil_Group_PackagedFuel_Swatch_Name,Packaged Fuel
DefPal_Oil_Group_Turbofuel_Swatch_Name,Turbofuel
DefPal_Oil_Group_PackagedTurbofuel_Swatch_Name,Packaged Turbofuel
DefPal_Oil_Group_EmptyCanister_Swatch_Name,Empty Canister
DefPal_Oil_Group_PetroleumCoke_Swatch_Name,Petroleum Coke
DefPal_Oil_Group_Fabric_Swatch_Name,Fabric
DefPal_Aluminium_Group_Name,Aluminium
DefPal_Aluminium_Group_Bauxite_Swatch_Name,Bauxite
