Key,SourceString
DefPal_PaletteName,USS Default - Spanish
DefPal_Iron_Group_Name,Hierro
DefPal_Iron_Group_IronOre_Swatch_Name,Mineral de Hierro
DefPal_Iron_Group_IronIngot_Swatch_Name,Lingote de Hierro
DefPal_Iron_Group_IronRod_Swatch_Name,Barra de Hierro
DefPal_Iron_Group_IronPlate_Swatch_Name,Placa de Hierro
DefPal_Iron_Group_Screw_Swatch_Name,Tornillo
DefPal_Iron_Group_ReinforcedIronPlate_Swatch_Name,Placa de Hierro Reforzada
DefPal_Iron_Group_ModularFrame_Swatch_Name,Marco Modular
DefPal_Iron_Group_Rotor_Swatch_Name,Rotor
DefPal_Copper_Group_Name,Cobre
DefPal_Copper_Group_CopperOre_Swatch_Name,Mineral de Cobre
DefPal_Copper_Group_CopperIngot_Swatch_Name,Lingote de Cobre
DefPal_Copper_Group_Wire_Swatch_Name,Cable
DefPal_Copper_Group_Cable_Swatch_Name,Cableado
DefPal_Copper_Group_CopperSheet_Swatch_Name,Hoja de Cobre
DefPal_Copper_Group_CopperPowder_Swatch_Name,Polvo de Cobre
DefPal_Limestone_Group_Name,Caliza
DefPal_Limestone_Group_Limestone_Swatch_Name,Caliza
DefPal_Limestone_Group_Concrete_Swatch_Name,Hormigón
DefPal_Steel_Group_Name,Acero
DefPal_Steel_Group_Coal_Swatch_Name,Carbón
DefPal_Steel_Group_SteelIngot_Swatch_Name,Lingote de Acero
DefPal_Steel_Group_SteelBeam_Swatch_Name,Viga de Acero
DefPal_Steel_Group_SteelPipe_Swatch_Name,Tubo de Acero
DefPal_Steel_Group_EncasedIndustrialBeam_Swatch_Name,Viga Industrial Encapsulada
DefPal_Steel_Group_Stator_Swatch_Name,Estator
DefPal_Steel_Group_Motor_Swatch_Name,Motor
DefPal_Steel_Group_HeavyModularFrame_Swatch_Name,Marco Modular Pesado
DefPal_Caterium_Group_Name,Caterio
DefPal_Caterium_Group_CateriumOre_Swatch_Name,Mineral de Caterio
DefPal_Caterium_Group_CateriumIngot_Swatch_Name,Lingote de Caterio
