Key,SourceString
DefPal_PaletteName,USS Default - Deutsch
DefPal_Iron_Group_Name,Eisen
DefPal_Iron_Group_IronOre_Swatch_Name,Eisenerz
DefPal_Iron_Group_IronIngot_Swatch_Name,Eisenbarren
DefPal_Iron_Group_IronRod_Swatch_Name,Eisenstange
DefPal_Iron_Group_IronPlate_Swatch_Name,Eisenplatte
DefPal_Iron_Group_Screw_Swatch_Name,Schraube
DefPal_Iron_Group_ReinforcedIronPlate_Swatch_Name,Verstärkte Eisenplatte
DefPal_Iron_Group_ModularFrame_Swatch_Name,Modularer Rahmen
DefPal_Iron_Group_Rotor_Swatch_Name,Rotor
DefPal_Copper_Group_Name,Kupfer
DefPal_Copper_Group_CopperOre_Swatch_Name,Kupfererz
DefPal_Copper_Group_CopperIngot_Swatch_Name,Kupferbarren
DefPal_Copper_Group_Wire_Swatch_Name,Draht
DefPal_Copper_Group_Cable_Swatch_Name,Kabel
DefPal_Copper_Group_CopperSheet_Swatch_Name,Kupferblech
DefPal_Copper_Group_CopperPowder_Swatch_Name,Kupfer Pulver
DefPal_Limestone_Group_Name,Kalkstein
DefPal_Limestone_Group_Limestone_Swatch_Name,Kalkstein
DefPal_Limestone_Group_Concrete_Swatch_Name,Beton
DefPal_Steel_Group_Name,Stahl
DefPal_Steel_Group_Coal_Swatch_Name,Stahl
DefPal_Steel_Group_SteelIngot_Swatch_Name,Stahlbarren
DefPal_Steel_Group_SteelBeam_Swatch_Name,Stahlträger
DefPal_Steel_Group_SteelPipe_Swatch_Name,Stahlrohr
DefPal_Steel_Group_EncasedIndustrialBeam_Swatch_Name,Stahlbetonträger
DefPal_Steel_Group_Stator_Swatch_Name,Stator
DefPal_Steel_Group_Motor_Swatch_Name,Motor
DefPal_Steel_Group_HeavyModularFrame_Swatch_Name,Schwerer modularer Rahmen
DefPal_Caterium_Group_Name,Caterium
DefPal_Caterium_Group_CateriumOre_Swatch_Name,Cateriumerz
DefPal_Caterium_Group_CateriumIngot_Swatch_Name,Cateriumbarren
DefPal_Caterium_Group_Quickwire_Swatch_Name,Turbodraht
DefPal_Quartz_Group_Name,Quarz
DefPal_Quartz_Group_RawQuartz_Swatch_Name,Rohquarz
DefPal_Quartz_Group_QuartzCrystal_Swatch_Name,Quarzkristall
DefPal_Quartz_Group_Silica_Swatch_Name,Quarzsand
DefPal_Quartz_Group_DissolvedSilica_Swatch_Name,Gelöster Quarzsand
DefPal_Oil_Group_Name,Öl
DefPal_Oil_Group_CrudeOil_Swatch_Name,Rohöl
DefPal_Oil_Group_PackagedOil_Swatch_Name,Verpacktes Öl
DefPal_Oil_Group_Plastic_Swatch_Name,Kunststoff
DefPal_Oil_Group_Rubber_Swatch_Name,Gummi
DefPal_Oil_Group_HeavyOilResidue_Swatch_Name,Schwerölrückstand
DefPal_Oil_Group_PackagedHeavyOilResidue_Swatch_Name,Verpackter Schwerölrückstand
DefPal_Oil_Group_PolymerResin_Swatch_Name,Polymerharz
DefPal_Oil_Group_Fuel_Swatch_Name,Treibstoff
DefPal_Oil_Group_PackagedFuel_Swatch_Name,Verpackter Treibstoff
DefPal_Oil_Group_Turbofuel_Swatch_Name,Turbotreibstoff
DefPal_Oil_Group_PackagedTurbofuel_Swatch_Name,Verpackter Turbotreibstoff
DefPal_Oil_Group_EmptyCanister_Swatch_Name,Leerer Kanister
DefPal_Oil_Group_PetroleumCoke_Swatch_Name,Petrolkoks
DefPal_Oil_Group_Fabric_Swatch_Name,Gewebe
DefPal_Aluminium_Group_Name,Aluminium
DefPal_Aluminium_Group_Bauxite_Swatch_Name,Bauxit
DefPal_Aluminium_Group_AluminaSolution_Swatch_Name,Aluoxid-Lösung
DefPal_Aluminium_Group_PackagedAluminaSolution_Swatch_Name,Verpackte Aluoxid-Lösung
DefPal_Aluminium_Group_AluminumScrap_Swatch_Name,Aluminiumschrott
DefPal_Aluminium_Group_AluminumIngot_Swatch_Name,Aluminiumbarren
DefPal_Aluminium_Group_AlcladAluminumSheet_Swatch_Name,Alclad-Aluminiumplatte
DefPal_Aluminium_Group_AluminumCasing_Swatch_Name,Aluminiumgehäuse
DefPal_Aluminium_Group_HeatSink_Swatch_Name,Kühlkörper
DefPal_Aluminium_Group_EmptyFluidTank_Swatch_Name,Leerer Flüssigkeitstank
DefPal_Nitrogen_Group_Name,Stickstoff
DefPal_Nitrogen_Group_NitrogenGas_Swatch_Name,Stickstoffgas
DefPal_Nitrogen_Group_PackagedNitrogenGas_Swatch_Name,Verpacktes Stickstoffgas
DefPal_Nitrogen_Group_FusedModularFrame_Swatch_Name,Verschmolzener modularer Rahmen
DefPal_Nitrogen_Group_CoolingSystem_Swatch_Name,Kühlsystem
DefPal_Nitrogen_Group_NitricAcid_Swatch_Name,Salpetersäure
DefPal_Nitrogen_Group_PackagedNitricAcid_Swatch_Name,Verpackte Salpetersäure
DefPal_Nitrogen_Group_RocketFuel_Swatch_Name,Raketentreibstoff
DefPal_Nitrogen_Group_PackagedRocketFuel_Swatch_Name,Verpackter Raketentreibstoff
DefPal_Nitrogen_Group_IonizedFuel_Swatch_Name,Ionisierter Treibstoff
DefPal_Nitrogen_Group_PackagedIonizedFuel_Swatch_Name,Verpackter Ionisierter Treibstoff
DefPal_Nitrogen_Group_PressureConversionCube_Swatch_Name,Druckumwandlungs-Block
DefPal_Sulfur_Group_Name,Schwefel
DefPal_Sulfur_Group_Sulfur_Swatch_Name,Schwefel
DefPal_Sulfur_Group_CompactedCoal_Swatch_Name,Verdichtete Kohle
DefPal_Sulfur_Group_BlackPowder_Swatch_Name,Schwarzpulver
DefPal_Sulfur_Group_SmokelessPowder_Swatch_Name,Rauchschwaches Pulver
DefPal_Sulfur_Group_SulfuricAcid_Swatch_Name,Schwefelsäure
DefPal_Sulfur_Group_PackagedSulfuricAcid_Swatch_Name,Verpackte Schwefelsäure
DefPal_Sulfur_Group_Battery_Swatch_Name,Batterie
DefPal_Uranium_Group_Name,Uran
DefPal_Uranium_Group_Uranium_Swatch_Name,Uranerz
DefPal_Uranium_Group_EncasedUraniumCell_Swatch_Name,Ummantelte Uranzelle
DefPal_Uranium_Group_ElectromagneticControlRod_Swatch_Name,Elektromagnetischer Steuerstab
DefPal_Uranium_Group_UraniumFuelRod_Swatch_Name,Uranbrennstab
DefPal_Uranium_Group_UraniumWaste_Swatch_Name,Uran-Abfall
DefPal_Uranium_Group_NonFissileUranium_Swatch_Name,Unspaltbares Uran
DefPal_Uranium_Group_PlutoniumPellet_Swatch_Name,Plutoniumpellet
DefPal_Uranium_Group_EncasedPlutoniumCell_Swatch_Name,Ummantelte Plutoniumzelle
DefPal_Uranium_Group_PlutoniumFuelRod_Swatch_Name,Plutoniumbrennstab
DefPal_Uranium_Group_PlutoniumWaste_Swatch_Name,Plutonium-Abfall
DefPal_SAM_Group_Name,SAM
DefPal_SAM_Group_SAM_Swatch_Name,SAM
DefPal_SAM_Group_ReanimatedSAM_Swatch_Name,Reanimierte SAM
DefPal_SAM_Group_SAMFluctuator_Swatch_Name,SAM-Fluktuator
DefPal_SAM_Group_FicsiteIngot_Swatch_Name,Ficsit-Barren
DefPal_SAM_Group_FicsiteTrigon_Swatch_Name,Ficsit-Trigon
DefPal_Electronics_Group_Name,Electronik
DefPal_Electronics_Group_AILimiter_Swatch_Name,KI-Begrenzer
DefPal_Electronics_Group_CircuitBoard_Swatch_Name,Platine
DefPal_Electronics_Group_HighSpeedConnector_Swatch_Name,Highspeed-Anschluss
DefPal_Electronics_Group_Computer_Swatch_Name,Computer
DefPal_Electronics_Group_Supercomputer_Swatch_Name,Supercomputer
DefPal_Electronics_Group_RadioControlUnit_Swatch_Name,Funksteuerungseinheit
DefPal_Electronics_Group_TurboMotor_Swatch_Name,Turbomotor
DefPal_Electronics_Group_CrystalOscillator_Swatch_Name,Quarzoszillator
DefPal_Electronics_Group_SuperpositionOscillator_Swatch_Name,Überlagerungsoszillator
DefPal_QuantumTechnology_Group_Name,Quantentechnologie
DefPal_QuantumTechnology_Group_Diamonds_Swatch_Name,Diamanten
DefPal_QuantumTechnology_Group_TimeCrystal_Swatch_Name,Zeitkristall
DefPal_QuantumTechnology_Group_DarkMatterCrystal_Swatch_Name,Dunkle-Materie-Kristall
DefPal_QuantumTechnology_Group_DarkMatterResidue_Swatch_Name,Dunkle-Materie-Überrest
DefPal_QuantumTechnology_Group_ExcitedPhotonicMatter_Swatch_Name,Angeregte photonische Materie
DefPal_QuantumTechnology_Group_SingularityCell_Swatch_Name,Singularitätszelle
DefPal_QuantumTechnology_Group_NeuralQuantumProcessor_Swatch_Name,Neural-Quantenprozessor
DefPal_QuantumTechnology_Group_AlienPowerMatrix_Swatch_Name,Alien-Energiematrix
DefPal_QuantumTechnology_Group_Ficsonium_Swatch_Name,Ficsonium
DefPal_QuantumTechnology_Group_FicsoniumFuelRod_Swatch_Name,Ficsonium-Brennstab
DefPal_SpaceElevator_Group_Name,Weltraumfahrstuhl
DefPal_SpaceElevator_Group_SmartPlating_Swatch_Name,Intelligente Beschichtung
DefPal_SpaceElevator_Group_VersatileFramework_Swatch_Name,Mehrzweckgerüst
DefPal_SpaceElevator_Group_AutomatedWiring_Swatch_Name,Automatische Verkabelung
DefPal_SpaceElevator_Group_ModularEngine_Swatch_Name,Modularer Motor
DefPal_SpaceElevator_Group_AdaptiveControlUnit_Swatch_Name,Adaptive Steuereinheit
